slot,avg_reward_offload,avg_reward_offload_only,avg_reward_local
1,0.0,0.0,0.0
2,4.429184330021645,0.0,-1.0
3,8.71649469228055,6.259305138932786,-2.0
4,13.775388184221235,12.488696019210412,-0.22639614580041045
5,14.47853363073666,9.74095681536833,0.8877661667193433
6,13.3335061356211,11.374499915606668,1.6722077083991789
7,14.864774883821372,12.577030701491195,2.1610945238847763
8,16.63184854420996,14.780160446310207,2.527759635498974
9,16.983000418942005,16.35481691450277,2.8129436111989055
10,18.284630127074145,16.44844676473233,3.066090791758851
11,16.622391024612856,17.585139664306055,3.250483939489715
12,15.975389160898727,17.55953764368041,2.646276944532239
13,16.31614527621754,18.435886183400633,2.8345952885527095
14,16.56443600054474,18.353173985786185,2.996011011998827
15,17.326760100525984,19.05976696406999,3.152571305652129
16,17.418282307793007,17.618531528815616,2.7367855990488708
17,17.396160725969793,18.285210183593712,2.875469705975311
18,17.390324875460266,17.04714295117184,2.998744467687702
19,17.922376066239377,15.93939858532069,3.122200833430368
20,17.444175695929573,16.59003208905682,3.220811562598768
21,17.990970598982607,16.623417009425463,3.3100307937511295
22,18.489202329030817,15.685988963542487,3.4025028220714577
23,18.48500303907484,14.830076399910206,3.102394003720525
24,18.921130773281856,15.418492744082416,3.2062282292654345
25,19.321360288752313,15.95983578072085,3.3117557167667515
26,19.243316255215625,16.010531151339215,3.486625445354311
27,19.15249400194091,16.489847355365292,3.5461732220744606
28,19.045942936404806,16.517992643273615,3.6014675861717427
29,18.660164513081998,15.810475655574525,3.661569235503695
30,19.003227984647374,16.248528755723484,3.7093307748801836
31,19.324158329014985,16.28216058350009,3.7540109246194793
32,19.260625738008216,16.701532710892067,3.803711065000069
33,19.510282458076556,17.07276107298756,3.582386487272794
34,19.787982052252048,17.422152472606847,3.6415638087294284
35,20.04981309818894,17.765924363676458,3.683073854674255
36,19.973182607039202,17.189093131352113,3.7222777869554804
37,19.887210520816478,17.20539373366147,3.759362587762045
38,20.125759419217186,17.54674833698731,3.7944955569472114
39,20.053076239667984,17.571906467238875,3.8278268354049336
40,20.275551050177366,17.856410522058987,3.865741549939769
41,20.487173430905806,17.84230088534531,3.8957092052290037
42,20.68811855540908,17.340103245218042,3.9242498293139882
43,20.597516156836736,17.61014895253956,3.957276935999672
44,20.511032049108593,17.602598190363622,3.98312099238146
45,20.698050640462696,17.854808645245395,4.013371979590725
46,20.877485814801407,17.842267488105243,4.036872923877848
47,20.801203465907726,18.09460368325286,4.10222389698775
48,20.971013157452216,18.346842536935995,4.138519553650472
49,20.867933246081016,18.56327572312186,4.21443484153604
50,20.602741954360262,18.781093581860286,4.232034453041286
51,20.574359144667774,18.761703813917897,4.253845844487503
52,20.50162561143952,18.981710830189538,4.27001064395502
53,20.43635372097459,18.973148652578384,4.2855654509898
54,20.593585479105492,19.15794346753144,4.136758683378878
55,20.51768509161139,18.736889949939957,4.15871607853196
56,20.49335533390482,18.91930385547752,4.184353566715289
57,20.459124809043303,19.09531727310148,4.2003195640851665
58,20.395902233314942,19.063982758337634,4.220045354649188
59,20.33906008388246,18.67306779633191,4.243339762482225
60,20.482610226818473,18.844384477393767,4.2700243567208265
61,20.62145380769101,19.018315365633924,4.328849673168736
62,20.755818563374113,18.663181246833375,4.3411975077434075
63,20.885917771257752,18.649356392388377,4.353153347569677
64,20.821953671969325,18.295460198757308,4.222635326513901
65,20.75037075650718,17.952453118776425,4.2360473279028925
66,20.874638906560758,18.119113960310774,4.249052905007369
67,20.995197559597813,18.106558758168795,4.265401599213205
68,20.927901480293873,18.276710374372833,4.277592978883575
69,20.973183884536326,18.449176436484,4.289430985230166
70,20.803686524186425,18.450301279059918,4.300930762823998
71,20.801595427508353,18.626412087242784,4.31210660302082
72,20.8467453156405,18.804546206309457,4.3229720032121755
73,20.794628467711156,18.505853792524395,4.333539721206506
74,20.747283696752877,18.647018858301678,4.347200203579369
75,20.70454945302015,18.628940145748302,4.357163073088956
76,20.65474043609791,18.331190933304246,4.370153235506185
77,20.7624979454998,18.041175466637956,4.386052744354136
78,20.590650134147793,18.181058712707255,4.39513431707778
