fold,window_size,val_RMSE,val_MAE,val_R2,val_MAPE,test_RMSE,test_MAE,test_R2,test_MAPE
1,24,19.588438203084895,13.49103410615721,0.8416356864715863,32.58340724227008,21.313046681348062,15.119140065259915,0.7998130409810548,35.40235720845551
1,48,17.496252401165375,12.804944514781925,0.868552491165391,31.693460705079545,17.601769361364923,12.647986057430264,0.8712243426387845,35.40952329866914
1,72,21.39577222783069,15.508460128286515,0.7886426980654002,59.301740746763834,23.535147386171577,17.28600189936893,0.7445915537601637,53.42414358862303
2,24,24.23565186516111,16.666185486719577,0.7508959125961663,44.22759646068346,19.21707701529847,13.702684592459004,0.8376935425726748,40.10233887679928
2,48,22.681312445076994,15.019482475355598,0.7900841113754916,28.82095549865289,17.30034182898775,11.74868199233418,0.8645968467388422,27.485331773991884
2,72,23.783232538958888,15.829282570246571,0.7499955222835328,34.270319823785314,19.04704046184764,13.513392597132931,0.8280259720750183,33.75716773738455
3,24,17.892671456157718,11.447472383634766,0.8801573209553589,20.313585390679652,16.46030774904641,11.286313092566772,0.8935489079794265,25.915359981855552
3,48,18.45685632360459,11.743543495301731,0.8614085660385933,19.946941471076116,16.412595877551368,11.312184616242885,0.8871282176435814,25.76854599241491
3,72,16.996627093539832,10.323939244026509,0.884146923046366,17.85089196326649,15.842373336058554,10.966613468974911,0.8942023093768244,24.1873468764597
4,24,15.738342341883175,11.197874535732376,0.8892923986251469,32.98502212716027,15.973217021710747,11.16243812787799,0.890512355039747,29.112052274789363
4,48,14.324522166843812,9.467766435911697,0.917833131188846,19.290396036743353,15.525251114801698,10.698883849320524,0.9045851328055563,22.853350686209883
4,72,14.608767948862287,9.72273530218314,0.9119310468113453,21.5988964965803,15.301075652264817,10.521935364824992,0.9054454739666986,23.38674951021501
5,24,13.354972103928661,9.033171494056772,0.9215383263448469,28.158003997340558,15.009392967162103,10.753376194867755,0.9071584790439711,27.662227566604724
5,48,14.701559836378724,9.330542958747545,0.9007805943434857,20.286294719249977,15.811926217091965,10.743470056880852,0.8934107250860631,24.03771921164621
5,72,14.33353979176289,9.503266629114338,0.9088217453278548,23.082030323359483,15.289255871781291,10.770026054364163,0.9039482617818503,24.2926284186109
