fold,window_size,epoch,loss
1,24,1,47.71662521362305
1,24,2,45.15498733520508
1,24,3,42.85148620605469
1,24,4,40.750240325927734
1,24,5,38.8709602355957
1,24,6,37.1061897277832
1,24,7,35.775142669677734
1,24,8,34.68352127075195
1,24,9,33.82612991333008
1,24,10,33.065086364746094
1,24,11,32.346046447753906
1,24,12,31.67045021057129
1,24,13,31.0128116607666
1,24,14,30.36273956298828
1,24,15,29.73948860168457
1,24,16,29.154756546020508
1,24,17,28.58420753479004
1,24,18,28.036706924438477
1,24,19,27.502857208251953
1,24,20,26.99171257019043
1,24,21,26.50493621826172
1,24,22,26.041088104248047
1,24,23,25.5835018157959
1,24,24,25.122737884521484
1,24,25,24.668058395385742
1,24,26,24.20178985595703
1,24,27,23.744165420532227
1,24,28,23.307064056396484
1,24,29,22.872411727905273
1,24,30,22.453819274902344
1,24,31,22.059843063354492
1,24,32,21.679651260375977
1,24,33,21.290599822998047
1,24,34,20.920833587646484
1,24,35,20.567827224731445
1,24,36,20.2174072265625
1,24,37,19.883502960205078
1,24,38,19.58124351501465
1,24,39,19.29574203491211
1,24,40,19.03289222717285
1,24,41,18.778989791870117
1,24,42,18.54768180847168
1,24,43,18.345956802368164
1,24,44,18.15863609313965
1,24,45,17.990816116333008
1,24,46,17.839130401611328
1,24,47,17.708288192749023
1,24,48,17.580427169799805
1,24,49,17.459253311157227
1,24,50,17.34660530090332
1,24,51,17.227216720581055
1,24,52,17.119813919067383
1,24,53,17.005292892456055
1,24,54,16.89674949645996
1,24,55,16.781888961791992
1,24,56,16.67832374572754
1,24,57,16.55391502380371
1,24,58,16.44970703125
1,24,59,16.334924697875977
1,24,60,16.21923828125
1,24,61,16.115550994873047
1,24,62,15.991491317749023
1,24,63,15.884913444519043
1,24,64,15.76891803741455
1,24,65,15.657195091247559
1,24,66,15.54946517944336
1,24,67,15.436236381530762
1,24,68,15.33370590209961
1,24,69,15.22600269317627
1,24,70,15.130855560302734
1,24,71,15.02122688293457
1,24,72,14.9241943359375
1,24,73,14.817785263061523
1,24,74,14.714333534240723
1,24,75,14.614972114562988
1,24,76,14.520886421203613
1,24,77,14.42740249633789
1,24,78,14.336057662963867
