split_time,window_size,RMSE,MAE,R2,MAPE
600,4,16.6359485624066,11.178437099763231,0.8875390832149479,23.32548051543679
600,12,14.60528682670982,10.244105953357145,0.9141815789296525,21.99481955475224
600,24,16.53446093014636,11.384256675375218,0.8889757422725436,24.16660250868973
600,48,15.551734675809353,10.405147351379473,0.8988760876723472,21.43640915053395
600,72,15.363297519666911,10.368747616545264,0.9004537518494041,21.749697322371485
600,100,15.726432857668446,11.060179209501754,0.8991506320061556,22.57241786404339
500,4,16.825534016102143,11.59762735870168,0.8789321037737606,30.304947134868915
500,12,16.280449436788235,11.308893860903106,0.8865907970915666,26.077272019221194
500,24,16.382345611095605,11.217986373658114,0.8884339202795027,28.63308803006025
500,48,15.685639167743503,10.807138903330701,0.89824667106535,24.398040012339127
500,72,14.632240456703187,10.161585635305917,0.9116047883596654,22.13251682088201
500,100,15.19876722089733,10.55400348423878,0.9066423107117946,24.076362404071627
400,4,16.46831825682172,11.144566004183842,0.8932938915150928,23.048936773728908
400,12,15.69659282343795,10.808477146216783,0.8973729255936829,22.636840141187772
400,24,16.17055441180971,11.083822280260556,0.8923333513654195,23.184452513159627
400,48,15.864477951674486,11.179177908298247,0.8912300043911697,29.57526423301261
400,72,14.948450648670637,10.185104548633085,0.9104949230596093,23.419190447634858
400,100,14.566574886291155,10.173306865470385,0.9150156281359967,23.044507967068796
300,4,17.519610398801916,11.914661996719776,0.8681653505398527,27.20623502357228
300,12,16.09761839399147,11.55148293300829,0.8909874385774568,31.36386235046879
300,24,17.362429084251044,12.403824222009597,0.8719307885328141,32.77224171725261
300,48,16.0595803130305,11.110549201765824,0.8925778929028233,26.957419679523138
300,72,16.263256927328836,11.156853898548942,0.8902626212366592,25.83367679577301
300,100,18.66384758088747,12.927256556657081,0.8461394286965194,27.599855790520987
