split_time,window_size,epoch,loss
600,4,1,43.71736145019531
600,4,2,36.84074401855469
600,4,3,31.7602481842041
600,4,4,27.681180953979492
600,4,5,24.43448257446289
600,4,6,22.023996353149414
600,4,7,20.280601501464844
600,4,8,19.197248458862305
600,4,9,18.501792907714844
600,4,10,18.053810119628906
600,4,11,17.66494369506836
600,4,12,17.299182891845703
600,4,13,16.945194244384766
600,4,14,16.562044143676758
600,4,15,16.251102447509766
600,4,16,15.997294425964355
600,4,17,15.764330863952637
600,4,18,15.53956413269043
600,4,19,15.340181350708008
600,4,20,15.161454200744629
600,4,21,14.996864318847656
600,4,22,14.850774765014648
600,4,23,14.711382865905762
600,4,24,14.601418495178223
600,4,25,14.484065055847168
600,4,26,14.374608039855957
600,4,27,14.287171363830566
600,4,28,14.201066970825195
600,4,29,14.108203887939453
600,4,30,14.03294563293457
600,4,31,13.961256980895996
600,4,32,13.876943588256836
600,4,33,13.804903984069824
600,4,34,13.74289321899414
600,4,35,13.694401741027832
600,4,36,13.623071670532227
600,4,37,13.575085639953613
600,4,38,13.514551162719727
600,4,39,13.482592582702637
600,4,40,13.425253868103027
600,4,41,13.390926361083984
600,4,42,13.338591575622559
600,4,43,13.294758796691895
600,4,44,13.258092880249023
600,4,45,13.240859985351562
600,4,46,13.210322380065918
600,4,47,13.172012329101562
600,4,48,13.140630722045898
600,4,49,13.10745906829834
600,4,50,13.070220947265625
600,4,51,13.05094051361084
600,4,52,13.026805877685547
600,4,53,12.994534492492676
600,4,54,12.966076850891113
600,4,55,12.948614120483398
600,4,56,12.91059684753418
600,4,57,12.905744552612305
600,4,58,12.87716293334961
600,4,59,12.831840515136719
600,4,60,12.787442207336426
600,4,61,12.777097702026367
600,4,62,12.746654510498047
600,4,63,12.728641510009766
600,4,64,12.707942008972168
600,4,65,12.689895629882812
600,4,66,12.696640968322754
600,4,67,12.657293319702148
600,4,68,12.635342597961426
600,4,69,12.61902904510498
600,4,70,12.612235069274902
600,4,71,12.59228801727295
600,4,72,12.604751586914062
600,4,73,12.57546615600586
600,4,74,12.567859649658203
600,4,75,12.544977188110352
600,4,76,12.544028282165527
600,4,77,12.5311861038208
600,4,78,12.54378604888916
600,4,79,12.526413917541504
600,4,80,12.5106840133667
600,4,81,12.554051399230957
600,4,82,12.477425575256348
600,4,83,12.477995872497559
600,4,84,12.467226028442383
600,4,85,12.466699600219727
600,4,86,12.449407577514648
600,4,87,12.442207336425781
600,4,88,12.436598777770996
600,4,89,12.430553436279297
600,4,90,12.436041831970215
600,4,91,12.417698860168457
600,4,92,12.394691467285156
600,4,93,12.420066833496094
600,4,94,12.38165283203125
600,4,95,12.376154899597168
600,4,96,12.372188568115234
600,4,97,12.366657257080078
600,4,98,12.344793319702148
600,4,99,12.345553398132324
600,4,100,12.347258567810059
600,4,101,12.332133293151855
600,4,102,12.33648681640625
600,4,103,12.315020561218262
600,4,104,12.336462020874023
600,4,105,12.304108619689941
600,4,106,12.30444049835205
600,4,107,12.316288948059082
600,4,108,12.295368194580078
600,4,109,12.299535751342773
600,4,110,12.283455848693848
600,4,111,12.272369384765625
600,4,112,12.296034812927246
600,4,113,12.25511360168457
600,4,114,12.256889343261719
600,4,115,12.24890422821045
600,4,116,12.243156433105469
600,4,117,12.249899864196777
600,4,118,12.215791702270508
600,4,119,12.232291221618652
600,4,120,12.228021621704102
600,12,1,95.45047760009766
600,12,2,75.24280548095703
600,12,3,58.35767364501953
600,12,4,44.24653244018555
600,12,5,33.31318283081055
600,12,6,27.639949798583984
600,12,7,24.69408416748047
600,12,8,22.618494033813477
600,12,9,20.674373626708984
600,12,10,18.936176300048828
600,12,11,17.50904655456543
600,12,12,16.46415138244629
600,12,13,15.68662166595459
600,12,14,15.092177391052246
600,12,15,14.619324684143066
600,12,16,14.214615821838379
600,12,17,13.901717185974121
600,12,18,13.60498046875
600,12,19,13.383023262023926
600,12,20,13.18138313293457
600,12,21,13.039278030395508
600,12,22,12.918960571289062
600,12,23,12.806909561157227
600,12,24,12.722475051879883
600,12,25,12.648858070373535
600,12,26,12.576813697814941
600,12,27,12.499231338500977
600,12,28,12.43385124206543
600,12,29,12.367059707641602
600,12,30,12.32137393951416
600,12,31,12.240035057067871
600,12,32,12.196150779724121
600,12,33,12.11357307434082
600,12,34,12.062467575073242
600,12,35,12.045793533325195
600,12,36,11.961977005004883
600,12,37,11.940778732299805
600,12,38,11.857674598693848
600,12,39,11.817726135253906
600,12,40,11.790373802185059
600,12,41,11.74129581451416
600,12,42,11.691873550415039
600,12,43,11.668506622314453
600,12,44,11.631281852722168
600,12,45,11.600930213928223
600,12,46,11.613412857055664
600,12,47,11.583772659301758
600,12,48,11.585739135742188
600,12,49,11.524349212646484
600,12,50,11.499076843261719
600,12,51,11.470959663391113
600,12,52,11.455862045288086
600,12,53,11.443552017211914
600,12,54,11.411527633666992
600,12,55,11.405519485473633
600,12,56,11.400290489196777
600,12,57,11.378717422485352
600,12,58,11.371503829956055
600,12,59,11.351041793823242
600,12,60,11.327312469482422
600,12,61,11.325285911560059
600,12,62,11.304414749145508
600,12,63,11.290122032165527
600,12,64,11.28438949584961
600,12,65,11.281477928161621
600,12,66,11.271602630615234
600,12,67,11.283608436584473
600,12,68,11.270174980163574
600,12,69,11.232046127319336
600,12,70,11.224701881408691
600,12,71,11.22332763671875
600,12,72,11.236231803894043
600,12,73,11.243799209594727
600,12,74,11.216651916503906
600,12,75,11.16469669342041
600,12,76,11.156208038330078
600,12,77,11.1825532913208
600,12,78,11.158570289611816
600,12,79,11.156793594360352
600,12,80,11.143243789672852
600,12,81,11.15438175201416
600,12,82,11.121502876281738
600,12,83,11.094808578491211
600,12,84,11.093609809875488
600,12,85,11.086382865905762
600,12,86,11.104339599609375
600,12,87,11.153359413146973
600,12,88,11.096470832824707
600,12,89,11.086808204650879
600,12,90,11.08065414428711
600,12,91,11.054717063903809
600,12,92,11.047554016113281
600,12,93,11.060884475708008
600,12,94,11.016688346862793
600,12,95,11.002849578857422
600,12,96,11.001121520996094
600,12,97,10.999935150146484
600,12,98,10.99682331085205
600,12,99,11.022133827209473
600,12,100,11.008325576782227
600,12,101,10.99171257019043
600,12,102,10.983631134033203
600,12,103,10.971797943115234
600,12,104,10.957998275756836
600,12,105,10.97799015045166
600,12,106,10.954303741455078
600,12,107,10.963285446166992
600,12,108,10.939697265625
600,12,109,10.925703048706055
600,12,110,10.937458038330078
600,12,111,10.924392700195312
600,12,112,10.918630599975586
600,12,113,10.911237716674805
600,12,114,10.943648338317871
600,12,115,10.892694473266602
600,12,116,10.914750099182129
600,12,117,10.942492485046387
600,12,118,10.90650463104248
600,12,119,10.899362564086914
600,12,120,10.900229454040527
600,24,1,56.478973388671875
600,24,2,38.408660888671875
600,24,3,30.67724609375
600,24,4,26.8408145904541
600,24,5,24.221647262573242
600,24,6,22.19713592529297
600,24,7,20.597434997558594
600,24,8,19.31909942626953
600,24,9,18.279294967651367
600,24,10,17.449193954467773
600,24,11,16.799049377441406
600,24,12,16.24449920654297
600,24,13,15.75644302368164
600,24,14,15.306049346923828
600,24,15,14.882015228271484
600,24,16,14.52914047241211
600,24,17,14.205317497253418
600,24,18,13.938024520874023
600,24,19,13.704073905944824
600,24,20,13.521857261657715
600,24,21,13.368000984191895
600,24,22,13.222991943359375
600,24,23,13.080978393554688
600,24,24,12.964761734008789
600,24,25,12.850556373596191
600,24,26,12.747919082641602
600,24,27,12.650508880615234
600,24,28,12.55721664428711
600,24,29,12.466160774230957
600,24,30,12.381465911865234
600,24,31,12.306063652038574
600,24,32,12.2444429397583
600,24,33,12.191006660461426
600,24,34,12.128474235534668
600,24,35,12.080391883850098
600,24,36,12.040213584899902
600,24,37,12.00119400024414
600,24,38,11.961627960205078
600,24,39,11.927318572998047
600,24,40,11.884029388427734
600,24,41,11.847099304199219
600,24,42,11.813719749450684
600,24,43,11.798551559448242
600,24,44,11.767306327819824
600,24,45,11.730648040771484
600,24,46,11.70779037475586
600,24,47,11.682473182678223
600,24,48,11.663104057312012
600,24,49,11.624940872192383
600,24,50,11.60085678100586
600,24,51,11.589625358581543
600,24,52,11.565301895141602
600,24,53,11.54189682006836
600,24,54,11.516115188598633
600,24,55,11.50395679473877
600,24,56,11.482789039611816
600,24,57,11.47081470489502
600,24,58,11.456450462341309
600,24,59,11.437491416931152
600,24,60,11.42651653289795
600,24,61,11.401942253112793
600,24,62,11.388011932373047
600,24,63,11.380595207214355
600,24,64,11.364736557006836
600,24,65,11.352324485778809
600,24,66,11.341755867004395
600,24,67,11.335749626159668
600,24,68,11.319035530090332
600,24,69,11.309276580810547
600,24,70,11.296405792236328
600,24,71,11.279637336730957
600,24,72,11.271345138549805
600,24,73,11.255226135253906
600,24,74,11.2572021484375
600,24,75,11.2451810836792
600,24,76,11.21996021270752
600,24,77,11.220791816711426
600,24,78,11.20639705657959
600,24,79,11.20029067993164
600,24,80,11.177650451660156
600,24,81,11.183724403381348
